,Bathyarchaeota_Clade,Tree,SJ75_69-contigs,1015_Q2.40_375,MBMAG207,MBMAG267,MF-4.2.1.10.12.7,MBMAG143,MBMAG619,UBA11852,MF-4.7.5.8,MBMAG220,palsa_986,A05DMB_2,bog_990,Chersky_322,MBMAG531,0116_SJ02_428,AM-2014_bin-0583,fen_993,Zod_Metabat.546,BinDmb219,Bin13_14.8m,Zod_Metabat.411,AS06rmzACSIP_217,SZUA-568,SpSt-546-fixed,0715_SJ02_89,MF-5.3.1.4,Lab288P4bin25-fixed,Emb289P1bin127-fixed,MWv41,0216_BV02_MP12.107.017.filtered,fen_988,14_8_m_bin19,Lab288P4bin61-fixed,SpSt-998-fixed,Nc150P4bin1-fixed,Th196P4bin19-fixed,Nt197P4bin22-fixed,LaPlata_bin-2628,Co191P4bin18-fixed,0715_SJ02_107_054,QUI85_23-contigs-fixed,0116_SJ02_107_027,SpSt-266-fixed,MBMAG405,A05DMB_5,SJ75_4-contigs,1015_Q2.107_481,L.E.AR.18,QZM_B1_bin_37_1,1015_Q2.107_497,L.E.AR.33,1015_Q2.40_586,1015_BV01_concoct_2,BA_16,BA_27,BA_14,BA_11,BA_12,BA_10,BA_4,BA_9,BA_18,BA_1,0116_SJ02_599,Archaea.bin_1,13_1_20CM_2_53_14,BA_7,13_1_40CM_2_52_14,BA_26,13_1_40CM_3_52_10,MBMAG504,0116_SJ02_112,3300010339_29,QUI85_58_2-contigs,MBMAG202,0116_SJ02_40_108,0116_SJ02_40_099,3300025469_14,3300025472_24,1015_Q2_604,0116_SJ02_102,3300017925_10,1015_Q2_151,0116_SJ02_519,1015_Q2.107_002,0216_BV02_MP05.40.187.filtered,fen_987,MAQ_0.bin.072,3300010341_32,1015_Q2.40_006,MAQ.bin.044sta_assembly,QUI85_69-contigs
palsa_986,BC1,#E63232,72.47262603,71.43408537,73.5983871,79.5654661,64.90843447,72.78767234,78.87212625,64.71420233,61.94732824,78.27923729,,68.90885947,75.01690998,67.86312347,77.33512801,74.27187215,74.10824742,76.73336551,67.98825847,73.24599156,71.5854386,67.46354946,67.88153512,72.68325123,70.31887937,74.20942368,65.94542254,65.9046875,67.53058577,65.13450557,76.0301676,71.70449438,63.6185254,68.06489362,70.60514658,65.41,65.87738821,67.85693277,69.21896334,66.50182796,70.04083333,56.5248179,60.02991361,63.69672747,61.30397045,63.7511413,60.97998353,61.16520619,62.42172222,59.99134503,60.05593368,62.14919268,59.80492126,59.61274704,47.81224832,47.28280802,47.61642336,47.77042105,47.40866834,47.13764988,46.39785894,47.72285408,47.33659148,46.8815427,47.65209974,47.6908046,47.69319899,48.69268617,47.63445652,46.94786585,47.58895782,46.77560096,47.16382289,47.15147929,46.91563422,47.55365169,48.38668224,47.68848238,48.5004562,48.52118451,47.72283372,47.51765217,48.02527132,47.73522222,47.3680798,48.40138037,47.66298077,48.1859879,48.1449298,48.42474359,47.15843558,47.59485597,47.78996063
A05DMB_2,BC1,#E63232,65.31034272,64.43331117,65.29147449,68.51697358,68.00418134,65.37959744,67.30209689,66.60268226,65.05562331,69.97466488,68.90885947,,66.18741744,67.57725664,67.01330998,65.67813786,66.35831363,67.87559691,72.30368732,67.47062795,68.35296353,71.60513126,62.86307524,67.32068966,65.09267399,66.31646909,70.81769759,64.40487013,63.9839102,65.61008011,66.72757386,63.85890957,64.90906832,63.51309735,65.01189857,63.85132013,63.30997877,64.39188713,64.67180556,63.66077258,64.66385373,57.35005656,60.12286325,65.59814241,61.81764973,65.92003188,62.34349845,62.02039931,64.6985546,62.90724101,60.79128114,64.42745512,60.63854167,60.11961165,48.5,47.60464072,48.03269231,47.33459916,48.13925831,47.48515815,47.28760108,47.34023861,47.76768802,47.78649351,46.81134021,48.08723404,47.50771208,48.54199438,47.34292035,47.75115546,47.30074627,47.78514986,47.7559633,47.22621359,47.93070988,48.47141454,48.75703883,47.80272206,48.20291829,48.29348894,47.74345088,47.69591837,48.02020934,47.61920455,47.24961832,48.10014577,47.18898104,48.284375,47.79215976,48.7929803,47.33348348,47.45557621,47.70683012
bog_990,BC1,#E63232,69.46614973,70.17604485,72.57304604,74.99853286,62.4799775,72.19805795,75.3183679,62.37166262,61.15295815,74.57009174,75.01690998,66.18741744,,66.39829506,74.09745431,70.76189532,72.57137026,73.96538704,64.91095527,70.53582138,67.91282195,65.03517214,66.55569899,70.63722182,67.85977603,71.52332449,63.46628223,65.42786017,66.78175287,63.76973918,72.44073401,70.38363836,61.99017341,67.02373239,69.04391061,64.82857802,64.89367816,66.54514493,67.11919592,65.39573171,69.92829989,55.34689622,58.43907942,61.74492972,60.09197482,61.75087629,59.15427099,59.37897638,60.2036373,58.74226919,59.77332827,60.01645,59.22168142,57.63403141,47.73768328,47.09821883,47.08037578,47.23482456,46.79700855,46.90812757,46.46277778,47.2948556,47.27650215,46.50581395,47.4587146,46.82612827,46.83660907,47.97142857,47.02303263,46.59421642,47.38205418,48.08364929,47.38578337,47.84157303,46.88007812,47.90008489,48.17474227,46.90131265,47.8902439,48.37666667,47.54251559,47.33333333,47.97118294,47.91337325,47.03025751,47.60340314,47.24795082,47.62088015,47.82245042,48.32403628,47.40245232,47.65981481,46.94238351
Chersky_322,BC1,#E63232,64.46166667,64.41854714,65.76173913,67.26185613,63.80308183,65.82205422,66.11404723,63.73113674,61.7736246,67.32846924,67.86312347,67.57725664,66.39829506,,66.46622584,65.21340749,67.39345439,67.30653974,66.28989744,66.92156682,65.98855519,66.60176849,64.05861759,66.28873704,65.10362903,65.8832205,64.70787234,63.6522997,63.6380597,71.78429238,66.06750256,65.22553502,61.98105634,63.27931563,65.05327804,62.68630051,62.54875467,63.79202675,64.19700787,63.125,64.62548077,55.87747462,59.7345297,62.38601307,60.42094017,62.68007916,59.85666667,59.93843137,61.16094595,59.75974576,59.63316832,61.44385027,59.20012376,59.02115839,48.36306818,46.85431894,47.09273973,47.26780045,47.54563953,47.22129121,46.24436416,46.84647355,48.07636364,47.01384615,47.4328125,47.8557947,46.36524927,48.28012048,47.34146341,46.97517815,47.10014164,47.57536443,47.16585052,47.61446886,47.32758007,47.73591398,48.32444444,47.58349206,48.50164474,48.48922872,47.56263587,47.51735537,47.90789946,47.18394256,47.45891365,47.64838188,46.85884718,47.75922131,47.39529221,48.43010753,46.532,46.79079498,47.79383984
MBMAG531,BC1,#E63232,73.37533013,71.11097884,73.4867679,84.21174271,63.32404922,73.10004146,84.32068224,63.56541812,62.28994662,88.45802998,77.33512801,67.01330998,74.09745431,66.46622584,,73.95936893,72.04217687,73.68043137,66.08185404,71.09547054,69.87797428,66.36024845,66.11715426,70.44591633,67.74366554,74.43967391,66.18424069,65.47315234,66.52837022,62.87264753,74.10551257,68.94505597,62.57327327,66.61904297,68.38211921,65.01425676,64.79787918,66.69410526,66.6251926,65.02713921,70.91696035,55.78079268,60.01329268,62.67473046,61.05113861,62.32351779,61.57284483,60.8337,60.7825,59.28620448,60.25163265,60.65955128,59.85298851,57.77920455,47.87176471,45.92289562,47.05446686,46.78138958,46.75044118,46.78636364,46.23074627,46.52220844,46.9508596,46.34670846,47.22583082,46.88180272,46.58090909,47.82328125,46.77878412,46.30485075,46.63764881,47.33313609,46.95597403,47.7709622,46.83926056,48.01004515,48.5964,46.85647841,47.85997984,48.42739726,47.72288828,47.71208791,47.83071298,47.81901042,47.33917683,47.24189189,47.37226667,47.8923913,48.22594255,48.17285276,47.72627119,47.79447236,46.9908
0116_SJ02_428,BC1,#E63232,76.03971831,75.20475504,74.22438735,76.25402685,63.11383648,74.42758449,74.72666113,62.76486742,61.9011236,76.95934579,74.27187215,65.67813786,70.76189532,65.21340749,73.95936893,,70.03243381,71.20356794,66.00227273,70.22987421,68.30699374,65.69641533,64.9500502,69.8103588,66.47585492,80.52269965,64.87160194,65.9988785,66.82548638,62.08865385,72.52818182,67.85231377,62.45325342,65.71609964,67.37231664,64.57689145,64.18606811,65.44364982,66.96696589,64.91931638,73.71141791,55.79496403,59.42481013,62.00709877,59.98046784,61.90174603,61.70364372,60.79834071,60.60365079,58.78317152,61.31516484,60.71793893,59.79683544,58.22725061,48.0777533,47.15389105,47.49402516,47.15285326,47.08092105,46.71151515,47.21471572,47.25557065,47.85448276,46.64460317,48.23438486,47.16816547,46.74965636,47.59966667,47.11792169,46.95403226,47.37275862,47.25115894,47.93650794,47.43880952,46.92910156,47.76259169,48.61693122,47.79675325,47.73831776,48.409699,47.06230964,47.74978448,47.76103774,46.86339286,47.51294643,48.90120482,46.96317204,47.94103194,47.74896617,48.70352349,47.19255725,47.46975806,47.29311927
AM-2014_bin-0583,BC1,#E63232,68.92765823,68.40691004,70.61185462,73.84508321,63.84430255,70.79153439,72.49399431,62.72715582,61.43656716,74.14474026,74.10824742,66.35831363,72.57137026,67.39345439,72.04217687,70.03243381,,79.37456493,65.80390909,72.60349544,70.75788668,65.56126296,69.38292683,74.04411523,71.95602322,69.95430602,64.98499345,66.82728426,70.21283725,63.83281136,71.20611413,76.70503145,61.53622251,69.74857023,72.56556848,66.00429208,65.01524641,67.30475367,71.1454,66.06639698,69.01544218,55.02700946,58.45057471,61.59210526,59.64353535,61.48931624,59.48131488,59.03193916,60.10063211,58.76536492,59.5313447,60.17285012,58.89988636,57.97478261,48.09791667,47.80048232,47.1548,46.95602679,46.86816976,47.17544081,46.95494505,47.57609195,47.64875,46.87741047,46.86426593,47.30255591,46.46657382,48.33389831,47.14895592,46.52460674,47.32668464,47.44533898,46.74837905,47.36285714,47.31828859,47.45993789,48.01298701,47.08435673,47.77310838,48.14201571,47.61897507,47.58892216,47.68387387,47.32742347,47.10069061,47.13295082,46.51491003,47.73867521,47.74714286,48.12486772,46.85586319,46.33742204,47.25875
fen_993,BC1,#E63232,70.20594796,69.18863636,71.44670963,75.3137115,62.86574655,71.18298407,75.05790746,63.644,61.42161742,75.14706858,76.73336551,67.87559691,73.96538704,67.30653974,73.68043137,71.20356794,79.37456493,,67.01897663,74.89694868,71.91484375,66.87599138,69.88400547,74.81795491,72.41674497,71.87947368,64.72248175,65.76458583,70.26989422,64.67588727,73.10069162,77.59351082,62.15844981,70.11299368,73.3267094,65.50207039,65.55237134,67.79644317,70.99147795,65.96610526,69.50774834,55.43023256,58.99151786,62.2744,60.56802383,62.04342984,59.34871355,60.07998205,60.82002262,59.53238566,59.90392157,60.76089165,59.44105263,58.66254902,46.80329861,46.64076246,46.60811518,46.76428571,46.46303797,46.83914141,46.1211326,47.00446429,47.11596306,46.49971347,46.51509434,46.35680473,46.05510753,47.90733696,46.94310748,46.76121593,46.85749354,47.22254642,46.98392019,47.23521595,47.42260726,47.98496732,48.11811414,46.949,47.61397206,48.2280303,47.09936548,47.4424015,47.61825127,46.89890777,47.01212121,47.65615142,46.69014778,46.87051282,47.49218487,47.59261214,46.31830065,46.75464363,46.87378319
Zod_Metabat.546,BC1,#E63232,64.88984252,64.09200299,65.22485056,67.70667293,73.70197133,64.06430868,67.67069726,65.67271386,64.90369497,68.35799712,67.98825847,72.30368732,64.91095527,66.28989744,66.08185404,66.00227273,65.80390909,67.01897663,,66.664687,66.13941842,81.6656321,62.54518072,66.37795432,64.41861345,66.18509664,77.05298103,63.06857143,63.0122429,65.2464687,66.08697219,63.5158668,65.70626598,62.52686782,64.41590909,62.34306872,62.19754566,63.88962264,63.42143963,62.33452521,64.79560531,56.24209827,60.41586902,65.06707317,61.51851249,65.2999399,60.5563197,61.54073705,63.31488863,61.32535484,59.98698347,63.46647332,60.43942786,60.63558952,47.62417355,46.48782468,47.01860465,47.27345679,47.01246334,46.43224932,46.21616766,46.98793532,46.44380282,46.54803922,46.40517799,46.97913793,47.00088235,47.54815951,46.59974937,46.68801956,46.77857143,46.81814024,46.5504,47.20677656,47.31341912,47.54164619,47.63859155,47.39587302,47.88201357,48.09761194,47.30779412,47.34403974,47.59655512,47.22584416,46.67605422,47.51091549,45.94845938,47.47962963,47.35698819,48.02464589,46.86827957,47.20923261,47.33090909
BinDmb219,BC1,#E63232,69.12029888,68.19913793,70.15777538,73.3140625,64.31178604,70.07074766,71.9184466,64.50705882,62.55972222,74.5238806,73.24599156,67.47062795,70.53582138,66.92156682,71.09547054,70.22987421,72.60349544,74.89694868,66.664687,,69.92503497,66.62363014,68.95109929,73.28114334,72.05286602,69.73738075,66.62964109,67.26505945,70.2978684,64.14868421,71.42349235,69.78741438,61.85438144,69.61242291,71.29003115,66.72252503,65.88851931,67.91681574,70.89448871,66.26918033,68.78302817,55.45157195,58.56273585,62.64160757,59.48407676,62.3394382,60.26059246,59.51205273,61.29164663,59.8800965,58.90330739,61.50373494,57.97176871,58.12748414,47.13857678,46.71125402,47.4329235,47.19662005,47.13328691,46.52513441,46.53525074,46.85012195,46.85101744,46.77035928,46.8117052,46.80359375,46.98203343,48.18255814,46.93784461,46.69875,47.09145658,47.31476608,47.03721519,46.81423611,47.44761905,47.62164502,48.30143603,47.42475884,47.89436326,48.16702413,47.18141711,47.89382845,47.51846847,47.42723785,47.33525281,47.79185668,46.79312169,47.87840671,47.6041876,48.23418231,46.41507937,46.87004175,47.28636364
Bin13_14.8m,BC1,#E63232,65.7464539,67.7504,67.16269947,71.04940299,62.10974576,67.16865149,69.64857916,63.24795082,62.26026012,72.02556675,71.5854386,68.35296353,67.91282195,65.98855519,69.87797428,68.30699374,70.75788668,71.91484375,66.13941842,69.92503497,,66.56643357,66.82327718,69.2620462,66.92439887,69.08539823,65.23869565,67.68337182,65.92943144,63.11915456,70.13549822,67.71419458,63.405875,65.53125,66.82839744,67.26302083,67.02329317,68.30291859,65.55979263,66.91476578,66.10280749,55.10858051,59.0522541,61.42548807,58.493898,62.58691275,59.53865435,60.56625,60.49856828,58.41358314,58.22447917,60.65498938,59.63730159,58.69255725,47.37078313,46.31777778,47.10856481,46.82918367,46.79186603,47.3758794,46.55414508,46.67251082,46.61913265,46.93770053,46.71130653,46.62593583,47.54899497,47.52150259,47.21681614,46.85869565,46.93026316,47.25724638,47.25272727,48.31762821,46.39265537,46.74222615,47.55527523,47.18862275,47.66757813,47.51809045,47.37198068,47.52470588,47.48720539,46.87327189,46.83118557,47.63464052,47.00146341,47.84818182,46.86085165,48.61025641,47.13703704,46.68916968,46.45407166
